"Insert comment on order, after information has been transfered to Pacosft","Indsæt kommentar på ordren, efter ordreinformationerne er sendt til Pacsoft systemet"
"Pacsoft: The order has been transfered to the Pacsoft system","Pacsoft: ordren er blevet overført til Pacsoft systemet"
"Pacsoft: Returnlabel information has been transfered to the Pacsoft system","Pacsoft: Returlabel information er blevet overført til Pacsoft systemet"
"Pacsoft: Orderlabel information order has been transfered to the Pacsoft system","Pacsoft: Ordre information er blevet overført til Pacsoft systemet"
"Enter a delivery note:","Besked:"
"Weight (kg)","Vægt (kg)"
"Map","Kort"
"Radio button list","Radio knapper"
"Select box","Select boks"
"Show map","Vælg pakkeshop"
"Please select a delivery point","Vælg venligst en pakkeshop"
"Monday","Mandag"
"Tuesday","Tirsdag"
"Wednesday","Onsdag"
"Thursday","Torsdag"
"Friday","Fredag"
"Saturday","Lørdag"
"Sunday","Søndag"
"Service point data last updated","Afhentningssteder sidst opdateret"
"Updating service point data ...","Opdaterer afhentningssteder ..."
"Could not update service point data","Kunne ikke hente opdaterede afhentningssteder"
"Manual update service point data!","Opdater afhentningssteder nu!"
"Service point data updated","Afhentningssteder er blevet opdateret"
"Show parcel shops as select box when used on mobile units","Vis afhentningsteder som select boks når den vises på en mobil enhed"
"Standard content used as default when labels are printed. Can be overridden on the individual orders","Standard indhold der automatisk bliver indsat på ordren. Kan ændres på de individuelle ordrer"
"Standard content","Standard indhold"
"Content","Indhold"
"No orders have been transfered to Pacsoft","Der er ingen ordrer overført til Pacsoft Online"
"%s Post Danmark order(s) have been sent to Pacsoft for further processing. Click <a href="%s" TARGET="_blank">here</a> if you want to go to packsoftonline.","%s Post Danmark ordre(r) er blevet overført til Pacsoft Online. Klik <a href="%s" TARGET="_blank">her</a> for at gå til Pacsoft Online."
"Post Danmark free shipping","Post Danmark gratis fragt"
"Pacsoft shipping methods","Post Danmark fragtmetoder"
"Shipment type","Forsendelsestype"
"Choose parcel shop", "Vælg pakkeshop"
"Replace delivery address with servicepoint information","Overskriv leveringsadressen med adressen på valgt pakkeshop"
"The delivery address will only be replaced, when the user chooses a servicepoint as delivery point","Leveringsadressen vil kun blive overskrevet hvis brugeren har valgt at få leveret til en pakkeshop"
