"Product Name"|SKU|Category|Price|"Product URL"|Manufacturer|Image|"In Stock"|"Delivery Cost"
"Wharfedale Diamond 220"|wharfedale-diamond220|"Högtalare / Kompakta högtalare"|1399.0000|https://hifi-freaks.se/wharfedale-diamond-220.html|Wharfedale|https://hifi-freaks.se/media/catalog/product/d/i/diamond220test2_1.jpg|Ja|
"QUAD Vena"|quadvena|"Stereo / Förstärkare"|4999.0000|https://hifi-freaks.se/quad-vena.html|Quad|https://hifi-freaks.se/media/catalog/product/v/e/vena_20150520143259_285_1.jpg|Ja|
"QUAD VA-ONE"|"Quad VA-One"|"Stereo / Förstärkare"|11989.0000|https://hifi-freaks.se/quad-va-one.html|Quad|https://hifi-freaks.se/media/catalog/product/v/a/va-one_20160816102256_823_1.jpg|Ja|
"QUAD QII-Forty"|"QUAD QII-Forty"|"Stereo / Förstärkare"|22990.0000|https://hifi-freaks.se/quad-qii-forty.html|Quad|https://hifi-freaks.se/media/catalog/product/i/i/ii-forty_20150401123206_126.jpg|Ja|
"QUAD QII-Eighty"|"QUAD QII-Eighty"|"Stereo / Förstärkare"|28999.0000|https://hifi-freaks.se/quad-qii-eighty.html|Quad|https://hifi-freaks.se/media/catalog/product/i/i/ii-eighty_20150401141042_129.jpg|Ja|
"QUAD QII-Classic"|"QUAD QII-Classic"|"Stereo / Förstärkare"|10499.0000|https://hifi-freaks.se/quad-qii-classic.html|Quad|https://hifi-freaks.se/media/catalog/product/q/i/qii-classic_20150401141828_137.jpg|Ja|
"QUAD QC Twenty Four"|"QUAD QC Twenty Four"|"Stereo / Förstärkare"|12990.0000|https://hifi-freaks.se/quad-qc-twenty-four.html|Quad|https://hifi-freaks.se/media/catalog/product/q/c/qc24_20150401121055_112.jpg|Ja|
"Wharfedale DX-1SE"|DSX1SE|"Högtalare / System"|3799.0000|https://hifi-freaks.se/wharfedale-dx1se.html|Wharfedale|https://hifi-freaks.se/media/catalog/product/w/0/w00089_20160111173734_1053.jpg|Ja|
"Micromega MyAMP (B-STOCK)"|Myamp|Lagerrensning|2499.0000|https://hifi-freaks.se/micromega-myamp.html||https://hifi-freaks.se/media/catalog/product/m/i/micromega-myamp-610x406.jpg|Ja|
"Wharfedale Crystal 4.3"|"Crystal 4.3"|"Högtalare / System"|9299.0000|https://hifi-freaks.se/wharfedale-crystal-4.html|Wharfedale|https://hifi-freaks.se/media/catalog/product/w/h/wharfedale-crystal-4-white-01-8211-kopio-ml_532.jpg|Ja|
"Wharfedale Crystal 4 Mini 5.1"|"Crystal 4 mini"|"Högtalare / System"|3699.0000|https://hifi-freaks.se/wharfedale-crystal-4-mini-5-1.html|Wharfedale|https://hifi-freaks.se/media/catalog/product/i/m/img_9639.png|Ja|
"Kimber Tonik 0.5 M"|"tonik 0.5"|"Kablar / Signalkablar - RCA"|559.0000|https://hifi-freaks.se/kimber-tonik-0-5-m.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/t/o/top_nytonik_3.jpg|Ja|
"Kimber Tonik 1.0 M"|"tonik 1.0RCA"|"Kablar / Signalkablar - RCA"|499.0000|https://hifi-freaks.se/kimber-tonik-1-0-m.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/t/o/top_nytonik_4.jpg|Ja|
"Kimber Tonik 2.0 M"|"tonik 2.0 rca"|"Kablar / Signalkablar - RCA"|829.0000|https://hifi-freaks.se/kimber-tonik-2-0-m.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/t/o/top_nytonik_5.jpg|Ja|
"Kimber Tonik XLR 0.5 M"|"tonik 0.5 xlr"|"Kablar / Signalkablar - XLR"|699.0000|https://hifi-freaks.se/kimber-tonik-xlr-0-5-m.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/t/o/tonik_xlr_3.jpg|Ja|
"Kimber Tonik XLR 1.0 M"|"tonik 1.0 xlr"|"Kablar / Signalkablar - XLR"|799.0000|https://hifi-freaks.se/kimber-tonik-xlr-1-0-m.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/t/o/tonik_xlr_4.jpg|Ja|
"Kimber Tonik XLR 2.0 M"|"tonik 2.0 xlr"|"Kablar / Signalkablar - XLR"|979.0000|https://hifi-freaks.se/kimber-tonik-xlr-2-0-m.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/t/o/tonik_xlr_5.jpg|Ja|
"Kimber Timbre 0.5 M"|"timbre 0.5"|"Kablar / Signalkablar - RCA"|829.0000|https://hifi-freaks.se/kimber-timbre-0-5-m.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/t/o/top_nytimbre_2.jpg|Ja|
"Kimber Timbre 1.0 M"|"timbre 1.0"|"Kablar / Signalkablar - RCA"|999.0000|https://hifi-freaks.se/kimber-timbre-1-0-m.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/t/o/top_nytimbre_3.jpg|Ja|
"Kimber Timbre 2.0 M"|"timbre 2.0"|"Kablar / Signalkablar - RCA"|1399.0000|https://hifi-freaks.se/kimber-timbre-2-0-m.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/t/o/top_nytimbre_4.jpg|Ja|
"Kimber Timbre 0.5 M XLR"|"timbre 0.5 XLR"|"Kablar / Signalkablar - XLR"|829.0000|https://hifi-freaks.se/kimber-timbre-0-5-m-xlr.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/k/i/kimber_timbre_xlr_close.jpg|Ja|
"Kimber Timbre 1.0 M XLR"|"timbre 1.0 XLR"|"Kablar / Signalkablar - XLR"|999.0000|https://hifi-freaks.se/kimber-timbre-1-0-m-xlr.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/k/i/kimber_timbre_xlr_close_1.jpg|Ja|
"Kimber Timbre 2.0 M XLR"|"timbre 2.0 XLR"|"Kablar / Signalkablar - XLR"|1399.0000|https://hifi-freaks.se/kimber-timbre-2-0-m-xlr.html||https://hifi-freaks.se/media/catalog/product/k/i/kimber_timbre_xlr_close_2.jpg|Ja|
"Kimber Hero 0.5 M"|"Kimber hero"|"Kablar / Signalkablar - RCA"|2099.0000|https://hifi-freaks.se/kimber-hero-0-5-m.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/t/o/top_nyhero.jpg|Ja|
"Kimber Hero 1.0 M"|"Kimber hero 1.0"|"Kablar / Signalkablar - RCA"|1799.0000|https://hifi-freaks.se/kimber-hero-1-0-m.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/t/o/top_nyhero_3.jpg|Ja|
"Kimber Hero 2.0 M"|"Kimber hero 2.0"|"Kablar / Signalkablar - RCA"|3399.0000|https://hifi-freaks.se/kimber-hero-2-0-m.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/t/o/top_nyhero_1.jpg|Ja|
"Kimber Hero 1.5 M"|"Kimber hero 1.5"|"Kablar / Signalkablar - RCA"|2999.0000|https://hifi-freaks.se/kimber-hero-1-5-m.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/t/o/top_nyhero_2.jpg|Ja|
"Kimber Hero 0.5 M XLR"|"Kimber hero 0.5 XLR"|"Kablar / Signalkablar - XLR"|2099.0000|https://hifi-freaks.se/kimber-hero-0-5-m-xlr.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/2/0/20579992323.jpg|Ja|
"Kimber Hero 1.0 M XLR"|"Kimber hero 1.0 XLR"|"Kablar / Signalkablar - XLR"|2499.0000|https://hifi-freaks.se/kimber-hero-1-0-m-xlr.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/2/0/20579992323_1.jpg|Ja|
"Kimber Hero 1.5 M XLR"|"Kimber hero 1.5 XLR"|"Kablar / Signalkablar - XLR"|2999.0000|https://hifi-freaks.se/kimber-hero-1-5-m-xlr.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/2/0/20579992323_2.jpg|Ja|
"Kimber Hero 2.0 M XLR"|"Kimber hero 2.0 XLR"|"Kablar / Signalkablar - XLR"|3399.0000|https://hifi-freaks.se/kimber-hero-2-0-m-xlr.html|"Kimber Kable"|https://hifi-freaks.se/media/catalog/product/2/0/20579992323_3.jpg|Ja|
